4.36,44575,41844,44538,43409
4.37,44462,41886,44638,43344
4.38,44938,41476,44255,43654
4.39,45210,41592,44082,43459
4.4,45179,41139,44318,43742
4.41,45611,41098,43804,43850
4.42,45785,41575,43861,43802
4.43,45682,41305,44017,44050
4.44,45441,41222,44309,44040
4.45,44770,41256,44989,44128
4.46,44556,40495,45121,44877
4.47,44442,41109,45441,44383
4.48,44033,41449,45744,44033
4.49,44669,41072,45110,44327
4.5,44149,41669,45533,43754
4.51,44706,41234,44938,44045
4.52,45317,41404,44364,43845
4.53,45260,41071,44434,44176
4.54,45363,41336,44278,43916
4.55,45193,40686,44388,44346
4.56,45277,40865,44284,44210
4.57,45294,40966,44194,44115
4.58,45285,40869,44081,44137
4.59,44515,40993,44867,44052
4.6,44604,41231,44652,43821
4.61,44097,41124,45032,43939
4.62,44571,40876,44629,44094
4.63,44213,41082,44943,43819
4.64,44264,42081,44716,43109
4.65,45185,40827,43795,44208
4.66,45487,41864,43222,43390
4.67,45567,40806,43360,44126
4.68,45441,41090,43204,44128
4.69,45310,41241,43614,43654
4.7,45532,41763,43292,43274
4.71,44989,41649,44072,43301
4.72,44924,42111,44054,43033
4.73,44540,42091,44645,42938
4.74,44974,41884,44310,43008
4.75,44670,41327,44530,43595
4.76,44364,41687,44748,43227
4.77,44915,41161,44257,43764
4.78,44421,42074,44842,42804
4.79,44784,40821,44476,44042
4.8,45066,41708,44136,43284
4.81,44869,41259,44457,43743
4.82,44946,41213,44491,43661
4.83,45313,41220,44160,43658
4.84,45095,41638,44426,43314
4.85,45392,41092,44230,43878
4.86,45089,42136,44732,43002
4.87,45126,41196,44857,43844
4.88,45331,41918,44599,43223
4.89,45092,41660,45048,43480
4.9,45365,41212,44838,43841
4.91,45405,41527,44824,43556
4.92,45989,41503,44880,44372
4.93,45560,42044,45397,43892
4.94,45651,42506,45506,43527
4.95,45711,41661,45455,44330
4.96,45857,42526,45479,43543
4.97,46074,41762,45206,44237
4.98,46085,41855,45248,44165
4.99,46142,41493,45135,44518
5,45604,42074,45659,44051
5.01,46013,41492,45233,44456
5.02,45609,41881,45750,44126
5.03,45963,41729,45359,44303
5.04,45769,41956,45457,43970
5.05,45650,41717,45455,44158
5.06,45688,41976,45399,43916
5.07,45946,41706,44922,44017
5.08,46119,41701,44809,43944
5.09,45893,41590,44978,44061
5.1,46037,41439,44777,44256
5.11,45916,41566,44858,44120
5.12,45909,41508,44762,44094
5.13,45955,41295,44717,44325
5.14,45143,41716,45466,43994
5.15,45789,41181,44899,44488
5.16,45683,41443,45002,44309
5.17,45263,41584,45307,44310
5.18,45287,41736,45309,44101
5.19,45615,41635,44848,44273
5.2,45321,41662,45101,44183
5.21,45617,41484,44729,44363
5.22,44938,41647,45318,44213
5.23,45315,41146,44950,44771
5.24,45880,42104,44197,43785
5.25,45712,41859,44409,43875
5.26,45652,41901,44325,43780
5.27,45048,41626,44809,44042
5.28,45315,41207,44496,44356
5.29,45370,41484,44461,44110
5.3,45254,41304,44424,44212
5.31,45268,41505,44396,44038
5.32,44979,40985,44561,44507
5.33,44767,41576,44697,43899
5.34,44974,40881,44595,44629
5.35,44899,41520,44632,44159
5.36,44368,41277,45048,44227
5.37,44484,41806,44915,43760
5.38,44985,40972,44566,44537
5.39,45066,42018,44404,43712
5.4,44906,41681,44468,43904
5.41,45402,41180,44003,44298
5.42,44852,41843,44450,43760
5.43,45320,41828,44006,43781
5.44,45254,41424,44060,44075
5.45,45569,41467,43835,43999
5.46,45071,41204,44379,44274
5.47,44632,41666,44798,43875
5.48,44967,41710,44428,43837
5.49,44632,41562,44708,44021
5.5,44734,41212,44695,44291
5.51,44502,42436,44941,43202
5.52,44916,41503,44523,44164
5.53,44793,42026,44775,43848
5.54,45065,41369,44461,44188
5.55,45031,41601,44560,44132
5.56,45010,41848,44434,43744
5.57,44517,41824,45055,43955
5.58,44913,41908,44851,43809
5.59,45149,41341,44585,44338
5.6,45487,41219,44163,44471
5.61,45527,41229,44118,44535
5.62,44790,42018,44916,43759
5.63,45007,41490,44705,44304
5.64,44729,41742,44864,44116
5.65,44721,41499,44887,44317
5.66,45065,41580,44572,44232
5.67,44604,41613,44971,44146
5.68,45050,41317,44435,44471
5.69,45073,41419,44368,44367
5.7,44923,41890,44550,43928
5.71,44527,41031,44977,44782
5.72,44807,41453,44633,44562
5.73,45365,41301,44178,44483
5.74,44511,41873,45001,43922
5.75,44682,41278,44789,44469
5.76,44558,41605,44832,44273
5.77,45201,41959,44274,43932
5.78,44341,42234,45109,43708
5.79,44602,41664,44836,44249
5.8,44657,41775,44829,44227
5.81,44803,41879,44803,44187
5.82,44631,41877,44971,44082
5.83,45375,42064,44439,43911
5.84,45515,42652,44197,43376
5.85,44854,42275,44926,43800
5.86,45172,42384,44804,43820
5.87,44901,42110,45081,43997
5.88,45035,42075,44950,44170
5.89,45330,41690,44902,44636
5.9,44648,42097,45623,44245
5.91,45138,42271,45166,44107
5.92,44474,42166,45825,44292
5.93,45917,41869,44466,44576
5.94,45338,42558,45043,43942
5.95,45766,42149,44617,44340
5.96,45671,42472,44704,43935
5.97,45795,42556,44593,43943
5.98,45698,42256,44740,44118
5.99,45712,42271,44820,44040
6,45457,41699,45242,44439
6.01,45769,42016,45029,44186
6.02,45267,41792,45527,44313
6.03,45286,41451,45477,44644
